,total_load
2045-01-01 01:00:00,11178.0
2045-01-01 02:00:00,10908.0
2045-01-01 03:00:00,10661.5
2045-01-01 04:00:00,10211.25
2045-01-01 05:00:00,10070.25
2045-01-01 06:00:00,9752.0
2045-01-01 07:00:00,9233.25
2045-01-01 08:00:00,9469.75
2045-01-01 09:00:00,9578.5
2045-01-01 10:00:00,10115.0
2045-01-01 11:00:00,10963.25
2045-01-01 12:00:00,11592.25
2045-01-01 13:00:00,12016.5
2045-01-01 14:00:00,10248.25
2045-01-01 15:00:00,10218.0
2045-01-01 16:00:00,10358.5
2045-01-01 17:00:00,10758.5
2045-01-01 18:00:00,11715.25
2045-01-01 19:00:00,12080.5
2045-01-01 20:00:00,11971.5
2045-01-01 21:00:00,11473.25
2045-01-01 22:00:00,10799.75
2045-01-01 23:00:00,10794.0
2045-01-02 00:00:00,10285.75
2045-01-02 01:00:00,9703.25
2045-01-02 02:00:00,9112.0
2045-01-02 03:00:00,8949.0
2045-01-02 04:00:00,8912.75
2045-01-02 05:00:00,9091.0
2045-01-02 06:00:00,9633.25
2045-01-02 07:00:00,10863.5
2045-01-02 08:00:00,12664.0
2045-01-02 09:00:00,14014.25
2045-01-02 10:00:00,14492.25
2045-01-02 11:00:00,16244.0
2045-01-02 12:00:00,16680.0
2045-01-02 13:00:00,16729.75
2045-01-02 14:00:00,16608.25
2045-01-02 15:00:00,16046.0
2045-01-02 16:00:00,15981.75
2045-01-02 17:00:00,15923.25
2045-01-02 18:00:00,16750.75
2045-01-02 19:00:00,16858.0
2045-01-02 20:00:00,16688.25
2045-01-02 21:00:00,15898.25
2045-01-02 22:00:00,14912.5
2045-01-02 23:00:00,14720.25
2045-01-03 00:00:00,13762.5
2045-01-03 01:00:00,13041.75
2045-01-03 02:00:00,12262.0
2045-01-03 03:00:00,11916.0
2045-01-03 04:00:00,11815.5
2045-01-03 05:00:00,11950.5
2045-01-03 06:00:00,12395.75
2045-01-03 07:00:00,13401.25
2045-01-03 08:00:00,14973.75
2045-01-03 09:00:00,16456.25
2045-01-03 10:00:00,16731.5
2045-01-03 11:00:00,17110.25
2045-01-03 12:00:00,17595.25
2045-01-03 13:00:00,17691.0
2045-01-03 14:00:00,17669.25
2045-01-03 15:00:00,17601.5
2045-01-03 16:00:00,17502.25
2045-01-03 17:00:00,17538.5
2045-01-03 18:00:00,18308.75
2045-01-03 19:00:00,18494.5
2045-01-03 20:00:00,18226.75
2045-01-03 21:00:00,17525.25
2045-01-03 22:00:00,16564.5
2045-01-03 23:00:00,16360.25
2045-01-04 00:00:00,14982.25
2045-01-04 01:00:00,13762.25
2045-01-04 02:00:00,13125.5
2045-01-04 03:00:00,12871.0
2045-01-04 04:00:00,12797.5
2045-01-04 05:00:00,13031.0
2045-01-04 06:00:00,13396.0
2045-01-04 07:00:00,14308.0
2045-01-04 08:00:00,16146.25
2045-01-04 09:00:00,17306.5
2045-01-04 10:00:00,17604.5
2045-01-04 11:00:00,18004.5
2045-01-04 12:00:00,18157.75
2045-01-04 13:00:00,18381.5
2045-01-04 14:00:00,18073.75
2045-01-04 15:00:00,17629.75
2045-01-04 16:00:00,17477.0
2045-01-04 17:00:00,17343.0
2045-01-04 18:00:00,17862.5
2045-01-04 19:00:00,17879.25
2045-01-04 20:00:00,17465.25
2045-01-04 21:00:00,16890.25
2045-01-04 22:00:00,15668.0
2045-01-04 23:00:00,15471.5
2045-01-05 00:00:00,14324.75
2045-01-05 01:00:00,13293.0
2045-01-05 02:00:00,12612.75
2045-01-05 03:00:00,12167.25
2045-01-05 04:00:00,12099.5
2045-01-05 05:00:00,12218.25
2045-01-05 06:00:00,12635.25
2045-01-05 07:00:00,13579.0
2045-01-05 08:00:00,15382.0
2045-01-05 09:00:00,16483.75
2045-01-05 10:00:00,16723.75
2045-01-05 11:00:00,16942.25
2045-01-05 12:00:00,17048.25
2045-01-05 13:00:00,17152.75
2045-01-05 14:00:00,17019.25
2045-01-05 15:00:00,16882.0
2045-01-05 16:00:00,16604.5
2045-01-05 17:00:00,16548.0
2045-01-05 18:00:00,17426.25
2045-01-05 19:00:00,17598.0
2045-01-05 20:00:00,17356.5
2045-01-05 21:00:00,16658.0
2045-01-05 22:00:00,15572.75
2045-01-05 23:00:00,15197.5
2045-01-06 00:00:00,14310.75
2045-01-06 01:00:00,13523.0
2045-01-06 02:00:00,12928.75
2045-01-06 03:00:00,12563.25
2045-01-06 04:00:00,12496.5
2045-01-06 05:00:00,12418.75
2045-01-06 06:00:00,12694.75
2045-01-06 07:00:00,13177.75
2045-01-06 08:00:00,14481.75
