Datum;Uhrzeit;Gesamt[MWh]
01.01.2017;00:00;11.178
01.01.2017;00:15;11.159,25
01.01.2017;00:30;11.121
01.01.2017;00:45;11.053,5
01.01.2017;01:00;10.908
01.01.2017;01:15;10.818,75
01.01.2017;01:30;10.771,75
01.01.2017;01:45;10.703,75
01.01.2017;02:00;10.661,5
01.01.2017;02:15;10.596,5
01.01.2017;02:30;10.458,25
01.01.2017;02:45;10.348
01.01.2017;03:00;10.211,25
01.01.2017;03:15;10.133,5
01.01.2017;03:30;10.107,25
01.01.2017;03:45;10.070,75
01.01.2017;04:00;10.070,25
01.01.2017;04:15;9.981,5
01.01.2017;04:30;9.914,75
01.01.2017;04:45;9.826,25
01.01.2017;05:00;9.752
01.01.2017;05:15;9.665,5
01.01.2017;05:30;9.583,25
01.01.2017;05:45;9.553
01.01.2017;06:00;9.233,25
01.01.2017;06:15;9.377,75
01.01.2017;06:30;9.387,5
01.01.2017;06:45;9.399,5
01.01.2017;07:00;9.469,75
01.01.2017;07:15;9.483,25
01.01.2017;07:30;9.524,5
01.01.2017;07:45;9.563,5
01.01.2017;08:00;9.578,5
01.01.2017;08:15;9.558
01.01.2017;08:30;9.662,25
01.01.2017;08:45;9.869,75
01.01.2017;09:00;10.115
01.01.2017;09:15;10.377,25
01.01.2017;09:30;10.561,75
01.01.2017;09:45;10.720
01.01.2017;10:00;10.963,25
01.01.2017;10:15;11.163,75
01.01.2017;10:30;11.246,75
01.01.2017;10:45;11.376,5
01.01.2017;11:00;11.592,25
01.01.2017;11:15;11.748
01.01.2017;11:30;11.927,5
01.01.2017;11:45;11.974,75
01.01.2017;12:00;12.016,5
01.01.2017;12:15;12.051
01.01.2017;12:30;10.510,5
01.01.2017;12:45;10.319,5
01.01.2017;13:00;10.248,25
01.01.2017;13:15;10.209,25
01.01.2017;13:30;10.229,25
01.01.2017;13:45;10.136,5
01.01.2017;14:00;10.218
01.01.2017;14:15;10.298,75
01.01.2017;14:30;10.319,25
01.01.2017;14:45;10.224,75
01.01.2017;15:00;10.358,5
01.01.2017;15:15;10.382,25
01.01.2017;15:30;10.474,75
01.01.2017;15:45;10.518,5
01.01.2017;16:00;10.758,5
01.01.2017;16:15;10.788,75
01.01.2017;16:30;11.014,5
01.01.2017;16:45;11.318,25
01.01.2017;17:00;11.715,25
01.01.2017;17:15;11.966,75
01.01.2017;17:30;12.004,25
01.01.2017;17:45;12.006,25
01.01.2017;18:00;12.080,5
01.01.2017;18:15;12.115,5
01.01.2017;18:30;12.081,25
01.01.2017;18:45;12.004
01.01.2017;19:00;11.971,5
01.01.2017;19:15;11.855,75
01.01.2017;19:30;11.717,75
01.01.2017;19:45;11.567,5
01.01.2017;20:00;11.473,25
01.01.2017;20:15;11.246,25
01.01.2017;20:30;11.037
01.01.2017;20:45;10.903,75
01.01.2017;21:00;10.799,75
01.01.2017;21:15;10.683
01.01.2017;21:30;10.540
01.01.2017;21:45;10.526,25
01.01.2017;22:00;10.794
01.01.2017;22:15;10.736
01.01.2017;22:30;10.616,5
01.01.2017;22:45;10.499
01.01.2017;23:00;10.285,75
01.01.2017;23:15;10.272
01.01.2017;23:30;9.956,75
01.01.2017;23:45;9.871,75
02.01.2017;00:00;9.703,25
02.01.2017;00:15;9.571,25
02.01.2017;00:30;9.421,5
02.01.2017;00:45;9.263
02.01.2017;01:00;9.112
02.01.2017;01:15;9.002,5
02.01.2017;01:30;8.982,75
02.01.2017;01:45;8.959,75
02.01.2017;02:00;8.949
02.01.2017;02:15;8.968
02.01.2017;02:30;8.910,25
02.01.2017;02:45;8.901,75
02.01.2017;03:00;8.912,75
02.01.2017;03:15;8.877,25
02.01.2017;03:30;9.024,25
02.01.2017;03:45;9.038,25
02.01.2017;04:00;9.091
02.01.2017;04:15;9.238,5
02.01.2017;04:30;9.327,25
02.01.2017;04:45;9.398,25
02.01.2017;05:00;9.633,25
02.01.2017;05:15;9.786
02.01.2017;05:30;10.025
02.01.2017;05:45;10.341,75
02.01.2017;06:00;10.863,5
02.01.2017;06:15;11.382
02.01.2017;06:30;11.800,75
02.01.2017;06:45;12.246,5
02.01.2017;07:00;12.664
02.01.2017;07:15;12.933,75
02.01.2017;07:30;13.273,75
02.01.2017;07:45;13.666,25
02.01.2017;08:00;14.014,25
02.01.2017;08:15;14.065,5
02.01.2017;08:30;14.212,25
02.01.2017;08:45;14.430
02.01.2017;09:00;14.492,25
02.01.2017;09:15;14.646,75
02.01.2017;09:30;16.134,75
02.01.2017;09:45;16.156,5
02.01.2017;10:00;16.244
02.01.2017;10:15;16.367,75
02.01.2017;10:30;16.460,75
02.01.2017;10:45;16.568,25
02.01.2017;11:00;16.680
02.01.2017;11:15;16.695,75
02.01.2017;11:30;16.749,25
02.01.2017;11:45;16.779,25
02.01.2017;12:00;16.729,75
02.01.2017;12:15;16.709,25
02.01.2017;12:30;16.727
02.01.2017;12:45;16.594,5
02.01.2017;13:00;16.608,25
02.01.2017;13:15;16.473
02.01.2017;13:30;16.269,25
02.01.2017;13:45;16.116,25
02.01.2017;14:00;16.046
02.01.2017;14:15;16.032,25
02.01.2017;14:30;16.046,5
02.01.2017;14:45;15.997
02.01.2017;15:00;15.981,75
02.01.2017;15:15;15.905,5
02.01.2017;15:30;15.854
02.01.2017;15:45;15.864
02.01.2017;16:00;15.923,25
02.01.2017;16:15;15.949
02.01.2017;16:30;16.197,5
02.01.2017;16:45;16.467,25
02.01.2017;17:00;16.750,75
02.01.2017;17:15;16.872
02.01.2017;17:30;16.946,5
02.01.2017;17:45;16.944,25
02.01.2017;18:00;16.858
02.01.2017;18:15;16.751,5
02.01.2017;18:30;16.742,25
02.01.2017;18:45;16.795,25
02.01.2017;19:00;16.688,25
02.01.2017;19:15;16.593
02.01.2017;19:30;16.504
02.01.2017;19:45;16.429,25
02.01.2017;20:00;15.898,25
02.01.2017;20:15;15.688,75
02.01.2017;20:30;15.349,75
02.01.2017;20:45;15.146,75
02.01.2017;21:00;14.912,5
02.01.2017;21:15;14.751,75
02.01.2017;21:30;14.634,25
02.01.2017;21:45;14.569,25
02.01.2017;22:00;14.720,25
02.01.2017;22:15;14.508,5
02.01.2017;22:30;14.284
02.01.2017;22:45;14.069
02.01.2017;23:00;13.762,5
02.01.2017;23:15;13.633
02.01.2017;23:30;13.399,25
02.01.2017;23:45;13.221
03.01.2017;00:00;13.041,75
03.01.2017;00:15;12.864
03.01.2017;00:30;12.742,75
03.01.2017;00:45;12.470
03.01.2017;01:00;12.262
03.01.2017;01:15;12.216
03.01.2017;01:30;12.146,25
03.01.2017;01:45;12.063
03.01.2017;02:00;11.916
03.01.2017;02:15;11.906,25
03.01.2017;02:30;11.818,5
03.01.2017;02:45;11.771
03.01.2017;03:00;11.815,5
03.01.2017;03:15;11.763,25
03.01.2017;03:30;11.824,75
03.01.2017;03:45;11.881
03.01.2017;04:00;11.950,5
03.01.2017;04:15;12.005
03.01.2017;04:30;12.073,25
03.01.2017;04:45;12.238,75
03.01.2017;05:00;12.395,75
03.01.2017;05:15;12.524,5
03.01.2017;05:30;12.655,5
03.01.2017;05:45;12.925
03.01.2017;06:00;13.401,25
03.01.2017;06:15;13.915,75
03.01.2017;06:30;14.164,5
03.01.2017;06:45;14.516,5
03.01.2017;07:00;14.973,75
03.01.2017;07:15;15.319,5
03.01.2017;07:30;15.752,25
03.01.2017;07:45;16.160,5
03.01.2017;08:00;16.456,25
03.01.2017;08:15;16.465
03.01.2017;08:30;16.569,75
03.01.2017;08:45;16.601,25
03.01.2017;09:00;16.731,5
03.01.2017;09:15;16.874,25
03.01.2017;09:30;16.953
03.01.2017;09:45;17.019,75
03.01.2017;10:00;17.110,25
03.01.2017;10:15;17.203,75
03.01.2017;10:30;17.385,25
03.01.2017;10:45;17.481,5
03.01.2017;11:00;17.595,25
03.01.2017;11:15;17.692,75
03.01.2017;11:30;17.771
03.01.2017;11:45;17.762,25
03.01.2017;12:00;17.691
03.01.2017;12:15;17.761,5
03.01.2017;12:30;17.850
03.01.2017;12:45;17.774,25
03.01.2017;13:00;17.669,25
03.01.2017;13:15;17.620,75
03.01.2017;13:30;17.663,75
03.01.2017;13:45;17.585,75
03.01.2017;14:00;17.601,5
03.01.2017;14:15;17.557,5
03.01.2017;14:30;17.518,75
03.01.2017;14:45;17.450,75
03.01.2017;15:00;17.502,25
03.01.2017;15:15;17.503,25
