Koordinatensystem : Lambert konform konisch
Rechtswert        : 3900500 Meter
Hochwert          : 3010500 Meter
Hoehenlage        : 2 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3900500 3010500  1  1  1  -2.2 1026  94  4.5 3  2.9  92    0    0 198 -302  1
3900500 3010500  1  1  2  -2.8 1026 107  3.8 3  2.9  94    0    0 197 -301  1
3900500 3010500  1  1  3  -3.3 1025 121  3.3 2  2.9  97    0    0 187 -300  1
3900500 3010500  1  1  4  -3.3 1025 122  3.6 3  2.9  97    0    0 194 -299  1
3900500 3010500  1  1  5  -3.4 1024 124  3.8 4  2.8  97    0    0 218 -299  1
3900500 3010500  1  1  6  -3.6 1022 121  4.3 5  2.9  98    0    0 223 -298  1
3900500 3010500  1  1  7  -3.7 1022 122  4.1 4  2.8  98    0    0 220 -299  1
3900500 3010500  1  1  8  -3.7 1021 116  4.9 7  2.8  98    0    0 230 -298  1
3900500 3010500  1  1  9  -3.6 1020 117  5.7 8  2.9 100    0    0 248 -297  1
3900500 3010500  1  1 10  -3.3 1020 128  4.7 8  2.9  98    0   13 254 -297  1
3900500 3010500  1  1 11  -3.1 1020 116  5.8 7  2.9  97    0   40 249 -299  1
3900500 3010500  1  1 12  -2.6 1019 123  5.0 8  3.0  97    0   56 250 -302  1
3900500 3010500  1  1 13  -2.2 1018 125  5.7 8  3.0  95    0   64 256 -306  1
3900500 3010500  1  1 14  -2.2 1018 109  6.9 7  3.0  92    0   64 254 -308  1
3900500 3010500  1  1 15  -2.2 1017 110  6.9 8  2.9  90    0   32 255 -309  1
3900500 3010500  1  1 16  -2.3 1016  95  5.7 8  2.9  89    0    7 263 -309  1
3900500 3010500  1  1 17  -2.2 1016 101  7.9 8  2.8  88    0    0 266 -308  1
3900500 3010500  1  1 18  -1.9 1016 100  7.8 8  2.8  88    0    0 268 -307  1
3900500 3010500  1  1 19  -1.8 1016 108  7.1 8  2.9  88    0    0 270 -308  1
3900500 3010500  1  1 20  -1.7 1016 108  6.3 8  3.0  89    0    0 272 -309  1
