Koordinatensystem : Lambert konform konisch
Rechtswert        : 3900500 Meter
Hochwert          : 3010500 Meter
Hoehenlage        : 2 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Sommer
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3900500 3010500  1  1  1  -5.3 1017 120  4.1 2  2.2  87    0    0 203 -291  0
3900500 3010500  1  1  2  -6.1 1017 128  4.6 2  2.1  85    0    0 195 -290  0
3900500 3010500  1  1  3  -6.7 1016 134  4.8 3  1.9  84    0    0 208 -290  0
3900500 3010500  1  1  4  -7.0 1016 138  4.7 4  2.0  87    0    0 233 -291  0
3900500 3010500  1  1  5  -7.2 1015 142  4.4 5  2.0  89    0    0 246 -291  0
3900500 3010500  1  1  6  -7.6 1014 141  4.4 5  2.0  92    0    0 250 -292  0
3900500 3010500  1  1  7  -7.0 1013 142  3.5 6  2.0  93    0    0 255 -295  0
3900500 3010500  1  1  8  -6.3 1012 153  4.2 7  2.1  93    0    0 268 -298  0
3900500 3010500  1  1  9  -5.7 1011 147  4.2 8  2.3  93    0    0 281 -300  0
3900500 3010500  1  1 10  -5.4 1010 148  3.7 7  2.4  94    0    8 282 -302  0
3900500 3010500  1  1 11  -5.1 1009 140  4.1 8  2.4  95    0   18 283 -304  0
3900500 3010500  1  1 12  -4.5 1008 143  3.9 7  2.5  94    0   34 286 -307  0
3900500 3010500  1  1 13  -4.0 1007 135  4.0 7  2.6  94    0   44 281 -310  0
3900500 3010500  1  1 14  -3.6 1005 133  4.5 8  2.7  93    0   39 288 -312  0
3900500 3010500  1  1 15  -3.3 1003 131  5.3 8  2.8  94    0   21 293 -313  0
3900500 3010500  1  1 16  -2.9 1001 121  5.7 8  2.9  96    0    4 292 -313  0
3900500 3010500  1  1 17  -2.3  999 125  6.7 8  3.1  96    0    0 293 -313  0
3900500 3010500  1  1 18  -1.6  998 124  7.2 8  3.2  96    0    0 296 -312  0
3900500 3010500  1  1 19  -1.3  996 114  7.4 8  3.4  97    0    0 300 -314  0
3900500 3010500  1  1 20  -0.9  994 113  7.2 8  3.5  98    0    0 303 -316  0
3900500 3010500  1  1 21  -0.6  992 113  7.3 8  3.6  99    0    0 306 -318  0
3900500 3010500  1  1 22  -0.4  990 119  6.1 8  3.7  99    0    0 309 -319  0
3900500 3010500  1  1 23   0.0  988 108  5.9 8  3.8 100    0    0 311 -320  0
3900500 3010500  1  1 24   0.3  987 111  6.0 8  3.9  99    0    0 315 -320  0
3900500 3010500  1  2  1   0.5  986  95  4.3 8  4.0 100    0    0 318 -320  0
3900500 3010500  1  2  2   0.5  985  82  4.4 7  4.0 100    0    0 307 -320  0
3900500 3010500  1  2  3   0.6  985  80  4.1 7  4.0  99    0    0 294 -321  0
3900500 3010500  1  2  4   1.1  986 329  4.7 8  4.1  99    0    0 307 -321  0
3900500 3010500  1  2  5   0.4  987 305  5.3 8  4.0  98    0    0 318 -321  0
3900500 3010500  1  2  6   0.1  987 304  4.6 8  3.9  98    0    0 318 -323  0
3900500 3010500  1  2  7   0.1  988 298  3.7 8  3.9  99    0    0 318 -333  0
3900500 3010500  1  2  8   0.0  988 325  3.1 7  3.8  99    0    0 310 -340  0
3900500 3010500  1  2  9   0.0  989 328  1.7 8  3.8  99    0    0 310 -341  0
3900500 3010500  1  2 10   0.0  989  14  2.0 8  3.8  99    0   11 318 -344  0
3900500 3010500  1  2 11   0.0  989  92  3.0 8  3.8  99    0   18 318 -345  0
3900500 3010500  1  2 12  -0.2  989  86  5.4 8  3.8  99    0   48 316 -346  0
3900500 3010500  1  2 13   0.0  987  94  6.2 7  3.8  99    0   45 307 -347  0
3900500 3010500  1  2 14   0.2  986 106  6.6 5  3.9  99    0   48 287 -347  0
3900500 3010500  1  2 15   0.1  985 109  6.1 8  3.9  99    0   19 292 -345  0
3900500 3010500  1  2 16   0.2  984  67  5.6 7  3.9  98    0    9 305 -342  0
3900500 3010500  1  2 17   0.1  984  92  6.1 8  3.9  98    0    0 304 -337  0
3900500 3010500  1  2 18   0.2  983  83  6.4 8  3.9  98    0    0 311 -335  0
3900500 3010500  1  2 19   0.1  983  73  7.3 8  3.9  98    0    0 311 -333  0
3900500 3010500  1  2 20   0.2  982  77  7.0 6  3.9  98    0    0 298 -330  0
3900500 3010500  1  2 21   0.4  982  73  6.7 8  3.9  98    0    0 301 -328  0
3900500 3010500  1  2 22   0.4  983  78  6.6 8  3.9  97    0    0 316 -325  0
3900500 3010500  1  2 23   0.5  983  70  6.6 8  3.9  96    0    0 316 -323  0
3900500 3010500  1  2 24   0.7  984  72  7.3 8  3.9  95    0    0 315 -322  0
3900500 3010500  1  3  1   0.8  984  67  6.1 8  3.9  95    0    0 314 -321  0
3900500 3010500  1  3  2   0.5  986  61  5.8 8  3.9  96    0    0 312 -321  0
3900500 3010500  1  3  3   0.4  987  44  4.3 8  3.9  98    0    0 310 -321  0
3900500 3010500  1  3  4   0.4  989  46  5.1 8  3.9  97    0    0 309 -321  0
3900500 3010500  1  3  5   0.2  990  36  4.5 8  3.9  98    0    0 309 -320  0
3900500 3010500  1  3  6  -0.2  991  49  4.8 7  3.8  98    0    0 301 -320  0
3900500 3010500  1  3  7  -0.5  992  52  5.1 8  3.7  97    0    0 299 -318  0
3900500 3010500  1  3  8  -0.7  993  55  4.4 7  3.6  96    0    0 298 -318  0
3900500 3010500  1  3  9  -0.7  994  64  4.3 7  3.5  95    0    0 293 -317  0
3900500 3010500  1  3 10  -0.8  995  67  3.6 8  3.4  94    0   13 298 -317  0
3900500 3010500  1  3 11  -0.7  996  65  3.4 7  3.4  94    0   47 297 -317  0
3900500 3010500  1  3 12  -0.6  997  59  3.1 7  3.4  93    0   49 291 -318  0
3900500 3010500  1  3 13  -0.6  997  56  3.1 8  3.4  93    0   58 299 -318  0
3900500 3010500  1  3 14  -0.6  997  47  3.3 8  3.4  93    0   39 306 -318  0
3900500 3010500  1  3 15  -0.5  997  49  3.4 8  3.5  93    0   15 305 -318  0
3900500 3010500  1  3 16  -0.7  998  36  3.6 8  3.5  94    0    6 303 -317  0
3900500 3010500  1  3 17  -0.9  998  25  3.0 8  3.4  95    0    0 302 -314  0
3900500 3010500  1  3 18  -1.0  999  26  3.6 8  3.4  95    0    0 299 -312  0
3900500 3010500  1  3 19  -1.3  999  24  3.6 8  3.4  96    0    0 297 -311  0
3900500 3010500  1  3 20  -1.6 1000  21  4.7 8  3.3  95    0    0 294 -307  0
3900500 3010500  1  3 21  -1.8 1000  15  5.0 8  3.2  94    0    0 289 -303  0
3900500 3010500  1  3 22  -1.9 1001  16  5.6 8  3.1  92    0    0 286 -301  0
3900500 3010500  1  3 23  -2.0 1001  13  5.4 8  3.0  91    0    0 282 -300  0
3900500 3010500  1  3 24  -2.1 1002  14  5.7 8  3.0  91    0    0 280 -299  0
3900500 3010500  1  4  1  -2.6 1003   6  6.1 7  2.9  91    0    0 272 -298  0
3900500 3010500  1  4  2  -2.5 1003  11  6.1 7  2.9  90    0    0 263 -298  0
3900500 3010500  1  4  3  -2.8 1004  14  6.4 5  2.8  89    0    0 250 -298  0
3900500 3010500  1  4  4  -3.0 1004  14  6.7 8  2.7  88    0    0 253 -298  0
