Koordinatensystem : Lambert konform konisch
Rechtswert        : 3900500 Meter
Hochwert          : 3010500 Meter
Hoehenlage        : 2 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Winter
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3900500 3010500  1  1  1   1.6 1016 242 10.1 8  4.2 100    0    0 309 -320  0
3900500 3010500  1  1  2   2.3 1016 246 11.4 8  4.3  99    0    0 310 -320  0
3900500 3010500  1  1  3   2.6 1015 255 12.2 8  4.4  98    0    0 311 -320  0
3900500 3010500  1  1  4   2.6 1014 265 11.9 8  4.5  99    0    0 310 -321  0
3900500 3010500  1  1  5   2.9 1013 268 12.2 8  4.5  98    0    0 308 -321  0
3900500 3010500  1  1  6   2.8 1013 273 12.0 8  4.6  98    0    0 308 -325  0
3900500 3010500  1  1  7   2.6 1013 290 10.0 8  4.4  95    0    0 307 -332  0
3900500 3010500  1  1  8   2.9 1013 292  9.9 6  4.1  89    0    0 299 -333  0
3900500 3010500  1  1  9   2.8 1013 289  9.5 5  4.0  86    0    0 286 -331  0
3900500 3010500  1  1 10   2.8 1014 297 10.5 5  4.0  87    3   32 282 -329  0
3900500 3010500  1  1 11   2.9 1014 289 10.0 0  4.1  87   40   75 256 -329  0
3900500 3010500  1  1 12   2.9 1014 298 10.8 0  4.1  87   73   97 227 -329  0
3900500 3010500  1  1 13   2.7 1014 299 10.8 0  4.0  87   75  108 224 -328  0
3900500 3010500  1  1 14   2.8 1014 299 11.2 0  4.0  86   50  101 220 -327  0
3900500 3010500  1  1 15   2.9 1014 301 11.3 1  4.0  85   16   69 224 -326  0
3900500 3010500  1  1 16   2.5 1015 304 11.1 5  3.9  85    0    5 252 -324  0
3900500 3010500  1  1 17   2.2 1015 307 10.3 5  3.9  86    0    0 277 -322  0
3900500 3010500  1  1 18   1.9 1015 307 10.2 6  3.8  86    0    0 282 -321  0
3900500 3010500  1  1 19   1.7 1016 305 10.8 6  3.7  86    0    0 287 -321  0
3900500 3010500  1  1 20   1.5 1016 301  9.2 7  3.7  87    0    0 292 -321  0
3900500 3010500  1  1 21   1.9 1016 298  9.4 8  3.7  88    0    0 302 -321  0
3900500 3010500  1  1 22   2.1 1016 301  9.1 8  3.8  87    0    0 309 -322  0
3900500 3010500  1  1 23   2.2 1016 298  9.0 8  3.9  88    0    0 309 -322  0
3900500 3010500  1  1 24   1.8 1016 303  8.9 8  3.9  90    0    0 306 -322  0
3900500 3010500  1  2  1   1.9 1016 307  8.4 8  3.9  90    0    0 302 -323  0
3900500 3010500  1  2  2   2.2 1016 307  8.2 8  3.9  88    0    0 300 -324  0
3900500 3010500  1  2  3   2.1 1016 312  9.1 8  3.8  87    0    0 298 -324  0
3900500 3010500  1  2  4   1.9 1017 314  8.6 8  3.7  86    0    0 297 -323  0
3900500 3010500  1  2  5   1.7 1017 316  8.7 8  3.7  85    0    0 293 -323  0
3900500 3010500  1  2  6   1.6 1017 318  8.8 7  3.7  87    0    0 285 -323  0
3900500 3010500  1  2  7   1.6 1017 310  8.8 5  3.7  88    0    0 268 -322  0
3900500 3010500  1  2  8   1.4 1017 310  8.4 4  3.7  87    0    0 252 -322  0
3900500 3010500  1  2  9   1.5 1018 310  7.8 4  3.7  87    0    0 245 -321  0
3900500 3010500  1  2 10   1.8 1018 297  7.5 4  3.7  87    3   32 244 -321  0
3900500 3010500  1  2 11   2.3 1018 298  7.2 4  3.8  87   26   73 244 -323  0
3900500 3010500  1  2 12   2.2 1019 291  7.1 5  3.8  86   32  100 250 -326  0
3900500 3010500  1  2 13   2.3 1019 281  6.9 5  3.8  85   26  105 254 -328  0
3900500 3010500  1  2 14   2.1 1018 294  8.2 6  3.7  85    0   53 259 -329  0
3900500 3010500  1  2 15   2.0 1018 304  7.3 6  3.7  84    0   39 266 -328  0
3900500 3010500  1  2 16   1.8 1019 297  6.3 8  3.7  85    0   11 276 -325  0
3900500 3010500  1  2 17   1.6 1019 301  6.5 8  3.7  87    0    0 286 -323  0
3900500 3010500  1  2 18   1.2 1019 299  6.5 7  3.7  88    0    0 280 -321  0
3900500 3010500  1  2 19   1.3 1019 306  5.8 6  3.7  89    0    0 270 -320  0
3900500 3010500  1  2 20   1.0 1019 302  5.5 6  3.7  90    0    0 263 -320  0
3900500 3010500  1  2 21   0.7 1019 284  5.3 5  3.7  91    0    0 258 -319  0
3900500 3010500  1  2 22   0.6 1020 290  5.7 7  3.6  92    0    0 260 -318  0
3900500 3010500  1  2 23   0.2 1020 307  5.4 5  3.6  92    0    0 259 -317  0
3900500 3010500  1  2 24  -0.3 1020 311  4.7 3  3.5  92    0    0 240 -316  0
3900500 3010500  1  3  1  -1.1 1020 312  4.1 2  3.3  93    0    0 225 -315  0
3900500 3010500  1  3  2  -1.6 1020 308  3.5 2  3.2  93    0    0 218 -315  0
3900500 3010500  1  3  3  -1.9 1020 308  3.6 2  3.1  94    0    0 215 -314  0
3900500 3010500  1  3  4  -2.3 1020 307  4.3 4  3.1  96    0    0 222 -314  0
3900500 3010500  1  3  5  -2.5 1021 288  5.3 2  3.1  97    0    0 220 -315  0
