Koordinatensystem : Lambert konform konisch
Rechtswert        : 3900500 Meter
Hochwert          : 3010500 Meter
Hoehenlage        : 2 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Sommer
Bezugszeitraum    : 2031-2060
Datenbasis 1      : Beobachtungsdaten Zeitraum 1995-2012
Datenbasis 2      : Klimasimulationen Zeitraum 1971-2000 (Basis RCP-historical / CORDEX-Europa Laeufe)
Datenbasis 3      : Klimasimulationen Zeitraum 2031-2060 (Basis RCP-4.5 und RCP-8.5 / CORDEX-Europa Laeufe)

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3900500 3010500  1  1  1   2.4 1028 106  5.6 3  4.3  94    0    0 214 -314  2
3900500 3010500  1  1  2   1.0 1028  68  4.1 2  4.0  96    0    0 215 -314  2
3900500 3010500  1  1  3   0.0 1028  41  3.0 2  3.7  98    0    0 238 -313  2
3900500 3010500  1  1  4   0.1 1028  45  3.0 4  3.7  97    0    0 233 -312  2
3900500 3010500  1  1  5   0.4 1028  47  3.1 5  3.6  96    0    0 235 -311  2
3900500 3010500  1  1  6   0.7 1028  47  3.3 8  3.7  94    0    0 276 -310  2
3900500 3010500  1  1  7   0.8 1028  45  3.2 8  3.6  92    0    0 290 -309  2
3900500 3010500  1  1  8   0.7 1028  48  4.2 8  3.5  89    0    0 289 -308  2
3900500 3010500  1  1  9   0.3 1028  59  4.4 8  3.4  88    0    0 288 -307  2
3900500 3010500  1  1 10   0.6 1028  59  3.5 7  3.4  88    0   14 282 -307  2
3900500 3010500  1  1 11   0.9 1028  42  2.2 7  3.3  85    0   31 277 -309  2
3900500 3010500  1  1 12   0.9 1028  20  3.0 7  3.3  82    0   48 278 -313  2
3900500 3010500  1  1 13   0.8 1028  42  2.5 7  3.3  84    0   47 277 -316  2
3900500 3010500  1  1 14   1.1 1028  40  3.0 7  3.5  87    0   34 278 -318  2
3900500 3010500  1  1 15   1.2 1028  48  3.5 7  3.5  87    0   26 280 -319  2
3900500 3010500  1  1 16   1.0 1027  51  3.2 8  3.6  88    0    7 282 -319  2
3900500 3010500  1  1 17   0.9 1028  49  2.8 8  3.6  89    0    0 284 -319  2
3900500 3010500  1  1 18   1.0 1028  61  3.2 8  3.5  88    0    0 282 -319  2
3900500 3010500  1  1 19   1.2 1028  45  2.2 8  3.5  87    0    0 281 -319  2
3900500 3010500  1  1 20   1.1 1028  63  3.3 8  3.5  86    0    0 281 -318  2
3900500 3010500  1  1 21   1.2 1028  61  2.8 8  3.5  86    0    0 282 -317  2
3900500 3010500  1  1 22   1.3 1028  42  2.4 8  3.5  85    0    0 283 -314  2
3900500 3010500  1  1 23   1.2 1028  49  3.3 8  3.5  86    0    0 284 -312  2
3900500 3010500  1  1 24   1.1 1028  38  2.2 8  3.6  89    0    0 286 -313  2
3900500 3010500  1  2  1   1.1 1028  36  3.2 5  3.7  92    0    0 277 -313  2
3900500 3010500  1  2  2   1.2 1028  40  3.4 4  3.8  94    0    0 262 -313  2
