Koordinatensystem : Lambert konform konisch
Rechtswert        : 3900500 Meter
Hochwert          : 3010500 Meter
Hoehenlage        : 2 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Winter
Bezugszeitraum    : 2031-2060
Datenbasis 1      : Beobachtungsdaten Zeitraum 1995-2012
Datenbasis 2      : Klimasimulationen Zeitraum 1971-2000 (Basis RCP-historical / CORDEX-Europa Laeufe)
Datenbasis 3      : Klimasimulationen Zeitraum 2031-2060 (Basis RCP-4.5 und RCP-8.5 / CORDEX-Europa Laeufe)

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3900500 3010500  1  1  1   5.1  987 268 10.0 7  4.7  84    0    0 279 -335  0
3900500 3010500  1  1  2   4.4  987 282 10.6 6  4.3  80    0    0 281 -334  0
3900500 3010500  1  1  3   3.9  987 294 11.4 6  4.0  78    0    0 276 -333  0
3900500 3010500  1  1  4   3.6  988 294 12.6 5  4.0  79    0    0 262 -332  0
3900500 3010500  1  1  5   3.4  988 296 13.6 4  4.0  80    0    0 253 -330  0
3900500 3010500  1  1  6   2.1  988 289 15.3 2  4.0  84    0    0 243 -328  0
3900500 3010500  1  1  7   3.0  989 304 15.3 3  3.8  81    0    0 237 -325  0
3900500 3010500  1  1  8   2.4  989 297 17.8 5  3.7  77    0    0 252 -323  0
3900500 3010500  1  1  9   3.1  989 309 17.4 5  3.2  68    0    0 261 -321  0
3900500 3010500  1  1 10   2.8  990 289 18.1 5  2.9  60    0   25 260 -319  0
3900500 3010500  1  1 11   2.2  990 286 17.1 5  3.1  66    6   56 258 -317  0
3900500 3010500  1  1 12   2.6  991 283 13.7 6  3.1  68    0   61 262 -317  0
3900500 3010500  1  1 13   2.4  991 289 17.0 7  3.1  67    0   50 271 -318  0
3900500 3010500  1  1 14   2.2  991 299 14.4 6  3.2  69   41   74 271 -318  0
3900500 3010500  1  1 15   2.5  990 274 13.1 4  3.1  68   27   54 258 -318  0
3900500 3010500  1  1 16   2.1  990 292  9.1 5  3.1  68    0    8 254 -318  0
3900500 3010500  1  1 17   2.5  990 279  9.7 6  3.0  65    0    0 261 -319  0
3900500 3010500  1  1 18   1.9  990 265  9.5 5  3.1  67    0    0 262 -320  0
3900500 3010500  1  1 19   1.1  990 231  9.7 4  3.4  79    0    0 257 -321  0
3900500 3010500  1  1 20   0.4  990 234  9.1 6  3.5  86    0    0 262 -324  0
3900500 3010500  1  1 21   1.0  990 254  7.7 5  3.6  88    0    0 267 -327  0
3900500 3010500  1  1 22   1.0  990 262  6.9 4  3.8  91    0    0 260 -327  0
3900500 3010500  1  1 23   1.8  990 253  8.7 5  3.9  91    0    0 262 -325  0
