Koordinatensystem : Lambert konform konisch
Rechtswert        : 4174500 Meter
Hochwert          : 2863500 Meter
Hoehenlage        : 43 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
4174500 2863500  1  1  1  -7.6 1010 165  2.5 1  2.0  93    0    0 211 -287  1
4174500 2863500  1  1  2  -6.9 1010 184  2.5 1  2.1  95    0    0 209 -286  1
4174500 2863500  1  1  3  -6.3 1010 189  2.5 1  2.3  96    0    0 202 -286  1
4174500 2863500  1  1  4  -6.1 1009 180  2.7 1  2.3  96    0    0 195 -285  1
4174500 2863500  1  1  5  -6.0 1010 169  3.0 1  2.3  96    0    0 192 -284  1
4174500 2863500  1  1  6  -6.0 1008 158  3.1 1  2.4  97    0    0 188 -283  1
4174500 2863500  1  1  7  -6.0 1008 154  3.6 0  2.3  95    0    0 181 -283  1
4174500 2863500  1  1  8  -5.0 1007 144  3.7 1  2.4  93    0    0 183 -282  1
4174500 2863500  1  1  9  -4.2 1007 154  4.2 2  2.4  89    0    0 200 -282  1
4174500 2863500  1  1 10  -4.2 1007 140  4.6 6  2.5  88   48   15 230 -282  1
4174500 2863500  1  1 11  -1.8 1006 149  4.4 7  2.5  82   32   57 258 -285  1
4174500 2863500  1  1 12  -1.8 1006 146  4.8 7  2.5  76    8   75 266 -291  1
4174500 2863500  1  1 13  -0.7 1005 145  5.0 7  2.5  73   10   81 269 -297  1
4174500 2863500  1  1 14   0.2 1003 147  6.3 6  2.5  68   30   73 267 -301  1
4174500 2863500  1  1 15   0.5 1002 147  6.4 7  2.6  66   41   44 270 -303  1
4174500 2863500  1  1 16   1.0 1002 154  5.7 8  2.6  64    0   11 286 -304  1
4174500 2863500  1  1 17   1.1 1001 153  5.4 8  2.6  63    0    0 298 -304  1
4174500 2863500  1  1 18   1.0 1000 157  5.0 7  2.6  63    0    0 289 -305  1
4174500 2863500  1  1 19   1.2  999 156  4.8 8  2.7  64    0    0 288 -307  1
4174500 2863500  1  1 20   1.1  999 162  4.8 8  2.8  66    0    0 306 -308  1
4174500 2863500  1  1 21   0.7  998 165  4.6 8  3.0  73    0    0 307 -309  1
4174500 2863500  1  1 22   0.5  998 170  5.0 8  3.2  81    0    0 308 -310  1
4174500 2863500  1  1 23   0.7  998 164  4.8 8  3.5  86    0    0 311 -312  1
4174500 2863500  1  1 24   0.7  998 189  5.7 8  3.7  91    0    0 314 -314  1
4174500 2863500  1  2  1   1.0  997 179  1.7 8  3.8  93    0    0 316 -315  1
4174500 2863500  1  2  2   1.0  997 183  2.8 8  3.9  94    0    0 317 -317  1
4174500 2863500  1  2  3   1.2  997 202  2.8 7  4.0  95    0    0 310 -318  1
4174500 2863500  1  2  4   1.3  997 185  2.9 7  4.0  95    0    0 304 -319  1
4174500 2863500  1  2  5   1.3  997 170  3.0 8  4.0  95    0    0 313 -322  1
4174500 2863500  1  2  6   1.6  996 182  3.0 8  4.0  94    0    0 319 -325  1
4174500 2863500  1  2  7   1.3  996 170  2.0 8  4.0  94    0    0 318 -323  1
4174500 2863500  1  2  8   1.4  996 177  2.0 8  4.1  96    0    0 317 -322  1
4174500 2863500  1  2  9   1.5  996 161  2.0 8  4.1  95    0    7 317 -322  1
4174500 2863500  1  2 10   1.6  996 151  2.2 7  4.1  94    6   40 309 -323  1
4174500 2863500  1  2 11   1.8  996 169  2.2 7  4.1  93   10   74 302 -325  1
4174500 2863500  1  2 12   2.6  996 172  1.6 6  4.1  91   18  101 293 -329  1
4174500 2863500  1  2 13   3.4  996 159  1.1 7  4.1  86    0   74 293 -334  1
4174500 2863500  1  2 14   3.2  995 150  1.2 7  4.2  85    0   55 302 -337  1
4174500 2863500  1  2 15   2.9  995 158  2.2 8  4.2  87    0   43 311 -339  1
4174500 2863500  1  2 16   3.0  995 152  2.2 7  4.2  88    0    3 311 -339  1
4174500 2863500  1  2 17   3.1  995 164  3.0 4  4.3  89    0    0 280 -337  1
4174500 2863500  1  2 18   2.7  995 182  3.4 2  4.4  92    0    0 244 -333  1
4174500 2863500  1  2 19   2.1  995 174  3.1 1  4.4  96    0    0 221 -332  1
4174500 2863500  1  2 20   2.0  995 158  3.2 1  4.4  98    0    0 210 -331  1
4174500 2863500  1  2 21   3.1  996 192  4.2 1  4.4  96    0    0 214 -331  1
4174500 2863500  1  2 22   2.1  996 184  3.7 2  4.5  96    0    0 232 -333  1
4174500 2863500  1  2 23   2.6  996 183  3.5 2  4.5  98    0    0 242 -335  1
4174500 2863500  1  2 24   2.7  996 170  3.3 3  4.5  97    0    0 247 -337  1
4174500 2863500  1  3  1   3.0  996 180  3.7 4  4.5  95    0    0 255 -336  1
4174500 2863500  1  3  2   2.8  996 175  3.7 2  4.4  93    0    0 250 -336  1
4174500 2863500  1  3  3   2.6  996 174  4.2 4  4.3  92    0    0 249 -337  1
4174500 2863500  1  3  4   3.7  996 186  3.8 7  4.3  90    0    0 280 -337  1
4174500 2863500  1  3  5   3.4  996 186  3.8 7  4.4  89    0    0 300 -337  1
4174500 2863500  1  3  6   3.7  996 186  4.1 8  4.4  89    0    0 305 -336  1
4174500 2863500  1  3  7   3.8  996 184  3.7 7  4.5  88    0    0 305 -334  1
4174500 2863500  1  3  8   3.6  997 189  3.3 7  4.5  89    0    0 299 -334  1
4174500 2863500  1  3  9   3.8  997 188  3.5 7  4.5  89    0    3 299 -333  1
4174500 2863500  1  3 10   3.8  997 192  3.3 7  4.5  89    3   30 299 -334  1
4174500 2863500  1  3 11   4.8  998 192  3.0 6  4.6  87   74   45 294 -336  1
4174500 2863500  1  3 12   5.6  999 202  3.4 8  4.7  84   26   80 302 -338  1
4174500 2863500  1  3 13   6.0  999 213  4.5 8  4.7  81    7   81 313 -339  1
4174500 2863500  1  3 14   5.4  999 221  4.6 7  4.8  84    3   68 308 -341  1
4174500 2863500  1  3 15   5.7  999 233  4.4 6  4.9  86   24   52 298 -342  1
4174500 2863500  1  3 16   4.8 1000 225  4.2 8  4.9  88    0   21 303 -340  1
4174500 2863500  1  3 17   4.3 1001 231  3.8 7  5.1  95    0    0 306 -336  1
4174500 2863500  1  3 18   4.4 1001 234  4.4 7  5.1  96    0    0 301 -331  1
4174500 2863500  1  3 19   4.0 1002 240  4.2 4  4.9  95    0    0 284 -326  1
4174500 2863500  1  3 20   3.6 1003 236  3.8 5  4.8  96    0    0 272 -324  1
