Koordinatensystem : Lambert konform konisch
Rechtswert        : 4174500 Meter
Hochwert          : 2863500 Meter
Hoehenlage        : 43 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Sommer
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
4174500 2863500  1  1  1   4.2  995 205  4.1 7  4.7  91    0    0 298 -317  0
4174500 2863500  1  1  2   3.1  995 204  3.6 7  4.5  95    0    0 296 -317  0
4174500 2863500  1  1  3   2.2  995 204  3.2 6  4.4  98    0    0 298 -317  0
4174500 2863500  1  1  4   2.2  995 201  2.9 6  4.4  97    0    0 273 -317  0
4174500 2863500  1  1  5   2.1  995 197  2.8 6  4.4  97    0    0 275 -317  0
4174500 2863500  1  1  6   2.1  996 188  2.8 7  4.3  97    0    0 299 -317  0
4174500 2863500  1  1  7   2.0  996 192  2.8 7  4.3  97    0    0 298 -317  0
4174500 2863500  1  1  8   2.0  997 191  3.1 7  4.3  96    0    0 297 -317  0
4174500 2863500  1  1  9   1.9  997 194  2.1 7  4.3  96    0    0 297 -317  0
4174500 2863500  1  1 10   2.1  998 194  1.7 6  4.3  96   11   52 289 -317  0
4174500 2863500  1  1 11   2.8  999 179  1.7 5  4.3  94   23   87 272 -317  0
4174500 2863500  1  1 12   3.5 1000 187  2.0 4  4.3  90   22  112 255 -317  0
4174500 2863500  1  1 13   3.8 1000 194  1.9 5  4.4  89    9  104 262 -317  0
4174500 2863500  1  1 14   3.3 1000 191  1.9 7  4.5  90    0   52 287 -318  0
4174500 2863500  1  1 15   3.1 1001 172  1.6 6  4.4  90    0   40 294 -318  0
4174500 2863500  1  1 16   2.7 1001 226  0.9 5  4.3  92    0   14 278 -317  0
4174500 2863500  1  1 17   2.2 1002 186  1.6 5  4.3  93    0    0 268 -314  0
4174500 2863500  1  1 18   1.6 1003 159  1.6 4  4.2  94    0    0 259 -311  0
4174500 2863500  1  1 19   0.7 1003 121  1.6 6  4.1  98    0    0 263 -309  0
4174500 2863500  1  1 20   0.9 1004 148  1.9 7  4.0  98    0    0 285 -307  0
4174500 2863500  1  1 21  -0.1 1005 192  1.7 6  3.9  98    0    0 284 -305  0
4174500 2863500  1  1 22  -0.1 1005 246  1.8 5  3.8 100    0    0 267 -304  0
4174500 2863500  1  1 23   0.2 1006 273  1.3 5  3.8 100    0    0 260 -302  0
4174500 2863500  1  1 24  -0.3 1007 307  1.1 6  3.8 100    0    0 267 -294  0
4174500 2863500  1  2  1   0.3 1007 331  0.9 5  3.8  99    0    0 265 -286  0
4174500 2863500  1  2  2  -0.4 1008  20  0.7 6  3.8  99    0    0 263 -283  0
4174500 2863500  1  2  3  -0.4 1008   9  0.9 6  3.7 100    0    0 266 -281  0
4174500 2863500  1  2  4  -1.1 1009  14  1.4 7  3.6 100    0    0 272 -283  0
4174500 2863500  1  2  5  -0.1 1010 330  1.5 7  3.6 100    0    0 282 -293  0
4174500 2863500  1  2  6   0.0 1010  16  0.8 8  3.8 100    0    0 295 -301  0
4174500 2863500  1  2  7   0.2 1011 343  1.2 8  3.8  99    0    0 304 -302  0
4174500 2863500  1  2  8   0.2 1012 346  1.1 8  3.8  99    0    0 304 -303  0
4174500 2863500  1  2  9   0.6 1012 330  1.3 8  3.9  99    0    0 306 -305  0
4174500 2863500  1  2 10   1.1 1013 322  1.3 7  4.0  99    5   47 299 -308  0
4174500 2863500  1  2 11   1.6 1014 344  0.5 8  4.1  99    0   48 301 -312  0
4174500 2863500  1  2 12   2.1 1014 352  0.6 8  4.2  98    0   46 311 -314  0
4174500 2863500  1  2 13   2.3 1015 330  1.1 7  4.3  98    0   71 305 -316  0
4174500 2863500  1  2 14   2.5 1015 335  1.0 7  4.4  98    0   71 300 -317  0
4174500 2863500  1  2 15   2.4 1015 360  1.3 6  4.4  97    4   58 294 -317  0
4174500 2863500  1  2 16   2.1 1016 350  0.9 7  4.4  98    0   21 293 -316  0
4174500 2863500  1  2 17   1.8 1016 342  0.7 8  4.3  99    0    0 307 -315  0
4174500 2863500  1  2 18   1.6 1017 351  0.9 8  4.3 100    0    0 314 -314  0
4174500 2863500  1  2 19   1.4 1018 358  1.2 8  4.2 100    0    0 313 -315  0
4174500 2863500  1  2 20   1.5 1018 345  1.6 8  4.2 100    0    0 313 -315  0
4174500 2863500  1  2 21   1.5 1018  12  1.8 7  4.2 100    0    0 307 -316  0
4174500 2863500  1  2 22   1.2 1019 357  1.3 7  4.2 100    0    0 300 -316  0
4174500 2863500  1  2 23   1.2 1019 344  1.3 7  4.1 100    0    0 300 -316  0
4174500 2863500  1  2 24   1.2 1020 314  1.7 8  4.1 100    0    0 306 -316  0
4174500 2863500  1  3  1   1.3 1020 357  0.7 8  4.1  99    0    0 313 -317  0
4174500 2863500  1  3  2   0.8 1020 325  1.2 8  4.0  99    0    0 311 -318  0
4174500 2863500  1  3  3   0.6 1020 333  1.5 7  4.0 100    0    0 303 -318  0
4174500 2863500  1  3  4   0.6 1021 329  1.7 6  3.9 100    0    0 289 -318  0
4174500 2863500  1  3  5   0.5 1021 335  1.5 5  3.9 100    0    0 276 -318  0
4174500 2863500  1  3  6   0.4 1021 344  1.4 7  3.9 100    0    0 281 -318  0
4174500 2863500  1  3  7   0.6 1021 330  1.9 8  3.9  99    0    0 301 -318  0
4174500 2863500  1  3  8   0.5 1022 335  1.7 8  3.9  99    0    0 308 -318  0
4174500 2863500  1  3  9   0.4 1022 323  1.9 8  3.9 100    0    0 306 -318  0
4174500 2863500  1  3 10   0.7 1023 319  2.0 7  3.9  99    2   47 300 -318  0
4174500 2863500  1  3 11   0.8 1023 312  1.9 8  3.9  99    0   48 300 -318  0
4174500 2863500  1  3 12   0.9 1024 324  1.4 8  3.9  99    0   46 306 -319  0
4174500 2863500  1  3 13   1.1 1024 316  1.8 7  3.9  98    0   52 301 -320  0
4174500 2863500  1  3 14   1.3 1024 301  1.9 8  3.9  96    0   43 301 -320  0
4174500 2863500  1  3 15   1.1 1024 306  2.4 7  3.9  96    0   23 301 -320  0
4174500 2863500  1  3 16   1.1 1024 309  2.1 8  3.9  96    0    4 302 -319  0
4174500 2863500  1  3 17   0.7 1025 304  2.4 7  3.8  96    0    0 301 -319  0
4174500 2863500  1  3 18   0.4 1025 312  2.1 8  3.8  97    0    0 301 -318  0
4174500 2863500  1  3 19   0.3 1025 315  2.2 8  3.7  97    0    0 307 -318  0
4174500 2863500  1  3 20   0.3 1025 317  1.7 8  3.7  96    0    0 306 -318  0
4174500 2863500  1  3 21  -0.1 1025 325  1.6 8  3.6  96    0    0 307 -318  0
4174500 2863500  1  3 22  -0.7 1025 318  1.9 8  3.5  97    0    0 304 -318  0
4174500 2863500  1  3 23  -0.4 1025 318  2.2 8  3.5  97    0    0 303 -318  0
4174500 2863500  1  3 24  -0.8 1026 320  2.0 7  3.5  96    0    0 296 -318  0
4174500 2863500  1  4  1  -0.8 1026 324  2.5 7  3.4  96    0    0 291 -318  0
4174500 2863500  1  4  2  -1.0 1026 334  2.2 7  3.4  96    0    0 290 -318  0
4174500 2863500  1  4  3  -1.1 1026 317  2.3 7  3.3  96    0    0 290 -318  0
4174500 2863500  1  4  4  -1.2 1026 328  2.1 8  3.3  97    0    0 295 -318  0
4174500 2863500  1  4  5  -1.4 1026 338  1.9 8  3.3  98    0    0 299 -318  0
4174500 2863500  1  4  6  -1.3 1026 344  1.5 8  3.4  99    0    0 300 -318  0
4174500 2863500  1  4  7  -1.1 1026 352  1.9 7  3.4  98    0    0 297 -318  0
4174500 2863500  1  4  8  -1.0 1026 358  2.2 7  3.4  98    0    0 293 -318  0
4174500 2863500  1  4  9  -0.8 1027   3  2.1 7  3.4  98    0    0 295 -318  0
4174500 2863500  1  4 10  -0.5 1027  11  2.1 8  3.5  97    0   34 301 -319  0
4174500 2863500  1  4 11  -0.5 1027   8  2.3 8  3.5  98    0   33 307 -320  0
4174500 2863500  1  4 12   0.1 1028  18  2.4 7  3.6  97    0   41 303 -321  0
4174500 2863500  1  4 13   0.8 1027  16  3.3 7  3.5  91    0   48 298 -321  0
4174500 2863500  1  4 14   0.5 1027  23  2.9 7  3.4  87    0   48 299 -321  0
4174500 2863500  1  4 15   0.6 1027  25  3.2 6  3.3  84    0   46 293 -321  0
4174500 2863500  1  4 16   0.3 1027  23  2.8 7  3.2  82    0   11 292 -321  0
4174500 2863500  1  4 17   0.1 1027  18  3.6 7  3.1  83    0    0 297 -321  0
4174500 2863500  1  4 18   0.0 1027  12  3.2 7  3.2  85    0    0 297 -321  0
4174500 2863500  1  4 19   0.1 1027   4  3.2 8  3.3  87    0    0 303 -321  0
4174500 2863500  1  4 20  -0.1 1026  11  2.7 8  3.4  90    0    0 310 -321  0
4174500 2863500  1  4 21  -0.1 1026  26  2.7 8  3.5  93    0    0 310 -321  0
4174500 2863500  1  4 22   0.0 1026  40  2.5 7  3.6  96    0    0 304 -321  0
4174500 2863500  1  4 23   0.1 1026  52  2.9 8  3.7  97    0    0 304 -320  0
4174500 2863500  1  4 24   0.3 1026  62  3.0 7  3.7  99    0    0 304 -320  0
4174500 2863500  1  5  1   0.6 1026  64  3.5 8  3.8  98    0    0 304 -319  0
4174500 2863500  1  5  2   0.5 1025  70  3.3 8  3.8  97    0    0 310 -319  0
4174500 2863500  1  5  3   0.6 1025  74  3.8 8  3.8  98    0    0 311 -319  0
4174500 2863500  1  5  4   0.7 1026  73  4.6 8  3.8  97    0    0 312 -319  0
4174500 2863500  1  5  5   0.8 1026  79  5.0 8  3.8  97    0    0 311 -319  0
4174500 2863500  1  5  6   0.9 1025  79  5.5 8  3.9  97    0    0 312 -319  0
4174500 2863500  1  5  7   0.9 1025  81  6.0 8  3.9  97    0    0 313 -319  0
4174500 2863500  1  5  8   1.1 1025  81  6.1 8  3.8  95    0    0 314 -319  0
4174500 2863500  1  5  9   1.3 1025  82  6.7 8  3.8  94    0    0 314 -319  0
4174500 2863500  1  5 10   1.0 1025  83  6.6 6  3.8  94    0   31 300 -319  0
4174500 2863500  1  5 11   1.0 1025  80  6.8 7  3.8  94    0   56 291 -319  0
4174500 2863500  1  5 12   1.0 1024  86  6.7 7  3.7  92    0   42 298 -320  0
4174500 2863500  1  5 13   0.9 1024  80  6.4 7  3.7  91    0   43 299 -321  0
4174500 2863500  1  5 14   0.7 1023  87  7.1 8  3.6  91    0   30 306 -322  0
