Koordinatensystem : Lambert konform konisch
Rechtswert        : 4174500 Meter
Hochwert          : 2863500 Meter
Hoehenlage        : 43 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Winter
Bezugszeitraum    : 2031-2060
Datenbasis 1      : Beobachtungsdaten Zeitraum 1995-2012
Datenbasis 2      : Klimasimulationen Zeitraum 1971-2000 (Basis RCP-historical / CORDEX-Europa Laeufe)
Datenbasis 3      : Klimasimulationen Zeitraum 2031-2060 (Basis RCP-4.5 und RCP-8.5 / CORDEX-Europa Laeufe)

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
4174500 2863500  1  1  1   1.2  983 178  4.4 8  3.9  90    0    0 286 -318  0
4174500 2863500  1  1  2   2.1  983 222  4.5 7  4.2  91    0    0 287 -318  0
4174500 2863500  1  1  3   2.8  983 256  4.8 7  4.3  91    0    0 277 -318  0
4174500 2863500  1  1  4   2.7  983 257  5.1 6  4.3  90    0    0 267 -318  0
4174500 2863500  1  1  5   2.5  983 258  5.5 6  4.2  90    0    0 267 -318  0
4174500 2863500  1  1  6   2.1  984 260  5.6 7  4.2  91    0    0 272 -318  0
4174500 2863500  1  1  7   2.1  984 263  5.9 8  4.2  92    0    0 283 -318  0
4174500 2863500  1  1  8   2.2  984 260  6.9 7  4.2  91    0    0 284 -318  0
4174500 2863500  1  1  9   2.3  984 264  7.7 7  4.1  89    0    5 279 -318  0
4174500 2863500  1  1 10   2.3  985 269  8.1 7  4.0  87    0   27 279 -318  0
4174500 2863500  1  1 11   2.2  986 272  8.8 7  4.0  86    1   58 278 -318  0
4174500 2863500  1  1 12   2.7  986 266  8.3 5  3.8  82   38   93 269 -318  0
4174500 2863500  1  1 13   3.2  986 264  9.9 3  3.5  74  129   71 251 -318  0
4174500 2863500  1  1 14   2.9  987 264  8.0 3  3.3  67   64   82 241 -317  0
4174500 2863500  1  1 15   1.7  987 263  8.7 3  3.1  68   13   62 238 -317  0
4174500 2863500  1  1 16   1.9  987 262  8.9 5  3.1  69    0   21 244 -315  0
4174500 2863500  1  1 17   1.1  987 261  8.8 3  2.9  67    0    0 243 -313  0
4174500 2863500  1  1 18   0.9  988 259  8.1 3  2.8  68    0    0 235 -311  0
4174500 2863500  1  1 19   0.0  988 259  7.5 3  2.9  73    0    0 236 -311  0
4174500 2863500  1  1 20  -0.1  988 244  5.3 3  3.1  79    0    0 236 -311  0
4174500 2863500  1  1 21   0.1  988 250  4.4 4  3.2  82    0    0 240 -312  0
4174500 2863500  1  1 22   0.1  988 253  3.8 7  3.3  84    0    0 257 -313  0
4174500 2863500  1  1 23  -0.1  988 240  3.5 7  3.3  86    0    0 272 -313  0
4174500 2863500  1  1 24  -0.2  987 245  3.6 6  3.4  88    0    0 268 -314  0
4174500 2863500  1  2  1  -0.1  987 248  3.4 6  3.4  88    0    0 266 -314  0
4174500 2863500  1  2  2  -0.1  987 245  3.0 6  3.4  87    0    0 268 -315  0
4174500 2863500  1  2  3   0.1  987 241  3.0 7  3.4  87    0    0 272 -315  0
4174500 2863500  1  2  4   0.1  988 254  2.3 7  3.4  87    0    0 279 -316  0
4174500 2863500  1  2  5  -0.2  987 246  1.3 5  3.4  88    0    0 270 -316  0
4174500 2863500  1  2  6  -0.4  987 285  2.3 6  3.4  89    0    0 266 -315  0
4174500 2863500  1  2  7  -0.1  987 246  2.5 6  3.4  90    0    0 271 -314  0
4174500 2863500  1  2  8   0.0  988 264  2.0 8  3.5  91    0    0 281 -314  0
4174500 2863500  1  2  9   0.0  989 259  2.6 8  3.6  93    0    5 291 -314  0
4174500 2863500  1  2 10   0.2  989 295  3.3 6  3.7  93    7   29 280 -315  0
4174500 2863500  1  2 11   0.2  990 301  4.8 6  3.6  92   19   50 269 -316  0
4174500 2863500  1  2 12   0.1  992 301  5.6 6  3.5  90    0   63 269 -317  0
4174500 2863500  1  2 13   0.1  993 304  5.9 6  3.5  89    0   74 271 -318  0
4174500 2863500  1  2 14  -0.2  995 299  5.5 6  3.5  90    0   58 271 -318  0
4174500 2863500  1  2 15  -0.4  996 314  5.6 8  3.4  91    0   33 284 -318  0
4174500 2863500  1  2 16  -0.5  998 323  4.7 7  3.4  90    0    4 289 -318  0
4174500 2863500  1  2 17  -0.7 1000 319  4.5 6  3.3  89    0    0 277 -318  0
4174500 2863500  1  2 18  -1.0 1001 318  3.8 7  3.2  88    0    0 276 -317  0
4174500 2863500  1  2 19  -1.1 1003 324  3.7 6  3.1  86    0    0 275 -317  0
4174500 2863500  1  2 20  -1.6 1005 316  3.5 5  3.0  85    0    0 261 -316  0
4174500 2863500  1  2 21  -1.8 1006 321  3.5 5  2.9  86    0    0 254 -316  0
4174500 2863500  1  2 22  -2.3 1008 315  3.6 5  2.9  89    0    0 254 -316  0
4174500 2863500  1  2 23  -1.6 1010 318  3.5 5  3.0  90    0    0 254 -316  0
4174500 2863500  1  2 24  -1.8 1011 317  3.5 5  3.0  90    0    0 255 -315  0
4174500 2863500  1  3  1  -0.8 1012 317  3.3 6  3.1  91    0    0 262 -315  0
4174500 2863500  1  3  2  -0.3 1013 320  4.2 6  3.3  89    0    0 271 -315  0
4174500 2863500  1  3  3  -0.5 1014 312  3.7 6  3.3  89    0    0 270 -315  0
4174500 2863500  1  3  4  -0.4 1015 318  3.4 7  3.2  89    0    0 276 -315  0
4174500 2863500  1  3  5  -0.3 1016 316  4.1 7  3.2  88    0    0 281 -315  0
4174500 2863500  1  3  6  -0.2 1017 319  4.7 6  3.3  89    0    0 276 -315  0
4174500 2863500  1  3  7  -0.2 1018 346  5.2 8  3.4  91    0    0 281 -315  0
4174500 2863500  1  3  8  -0.3 1019 352  4.1 6  3.4  93    0    0 279 -314  0
4174500 2863500  1  3  9  -0.8 1020 350  3.6 5  3.4  93    4    7 261 -314  0
4174500 2863500  1  3 10  -1.4 1021 354  4.4 2  3.2  91   81   16 236 -313  0
4174500 2863500  1  3 11  -1.3 1022 359  3.8 2  2.9  87  124   27 219 -312  0
4174500 2863500  1  3 12  -0.8 1023 352  3.2 1  2.8  82  147   42 213 -313  0
4174500 2863500  1  3 13  -0.1 1024 352  2.4 1  2.7  75  169   37 207 -313  0
4174500 2863500  1  3 14  -0.4 1024 349  2.8 2  2.6  71   98   62 212 -312  0
4174500 2863500  1  3 15  -0.7 1024 345  3.1 1  2.5  70   55   51 212 -311  0
4174500 2863500  1  3 16  -1.1 1025 338  3.2 2  2.5  71    1   24 211 -307  0
4174500 2863500  1  3 17  -2.5 1025 332  3.3 4  2.4  74    0    0 222 -303  0
4174500 2863500  1  3 18  -2.8 1026 328  2.2 5  2.4  78    0    0 232 -300  0
4174500 2863500  1  3 19  -3.5 1026 342  2.8 6  2.4  80    0    0 238 -297  0
4174500 2863500  1  3 20  -3.8 1027 352  2.4 5  2.3  82    0    0 237 -295  0
4174500 2863500  1  3 21  -3.2 1027 345  1.7 5  2.3  81    0    0 233 -294  0
4174500 2863500  1  3 22  -3.9 1027 350  1.0 5  2.4  82    0    0 232 -293  0
4174500 2863500  1  3 23  -3.4 1027 349  1.9 5  2.4  85    0    0 232 -293  0
4174500 2863500  1  3 24  -3.8 1027 309  0.6 6  2.4  85    0    0 235 -293  0
4174500 2863500  1  4  1  -4.1 1028 320  1.9 6  2.4  86    0    0 237 -293  0
4174500 2863500  1  4  2  -4.7 1028 324  2.0 4  2.3  87    0    0 228 -292  0
4174500 2863500  1  4  3  -5.3 1028 335  1.3 2  2.3  88    0    0 211 -292  0
4174500 2863500  1  4  4  -5.8 1028 333  1.2 1  2.2  90    0    0 199 -291  0
4174500 2863500  1  4  5  -7.1 1028 346  1.1 0  2.1  93    0    0 189 -290  0
4174500 2863500  1  4  6  -7.4 1028 342  0.7 2  2.1  96    0    0 190 -289  0
4174500 2863500  1  4  7  -7.9 1028   3  0.7 2  2.1  98    0    0 195 -288  0
4174500 2863500  1  4  8  -7.8 1029  17  0.0 1  2.0  98    0    0 192 -287  0
4174500 2863500  1  4  9  -8.1 1029  12  0.5 1  2.0  99    0    7 188 -286  0
4174500 2863500  1  4 10  -6.0 1030   3  0.8 1  2.1  96   56   19 190 -285  0
4174500 2863500  1  4 11  -4.7 1030   5  0.3 2  2.3  90   79   48 197 -288  0
4174500 2863500  1  4 12  -2.9 1030  14  0.3 2  2.4  85   77   74 205 -292  0
4174500 2863500  1  4 13  -1.6 1030  78  1.3 3  2.5  79   34   94 213 -296  0
4174500 2863500  1  4 14  -1.6 1030  89  1.3 3  2.5  77   49   79 218 -297  0
4174500 2863500  1  4 15  -2.5 1030 106  2.3 3  2.6  80   36   56 218 -296  0
4174500 2863500  1  4 16  -2.6 1030  93  2.2 3  2.5  81    1   23 217 -292  0
4174500 2863500  1  4 17  -5.2 1030  96  1.7 2  2.3  84    0    0 209 -287  0
4174500 2863500  1  4 18  -5.5 1031  89  2.2 2  2.2  90    0    0 201 -284  0
4174500 2863500  1  4 19  -6.0 1031  90  2.5 2  2.2  89    0    0 199 -281  0
4174500 2863500  1  4 20  -7.2 1031  88  2.7 1  2.1  91    0    0 194 -280  0
4174500 2863500  1  4 21  -8.3 1031  52  1.5 3  2.0  96    0    0 193 -279  0
4174500 2863500  1  4 22  -7.6 1032  91  1.7 0  2.0  95    0    0 190 -278  0
4174500 2863500  1  4 23  -7.6 1032  93  1.3 0  1.9  92    0    0 184 -277  0
4174500 2863500  1  4 24  -8.5 1032  82  1.3 1  1.9  94    0    0 185 -276  0
4174500 2863500  1  5  1  -8.5 1032  83  1.4 4  1.8  93    0    0 191 -276  0
4174500 2863500  1  5  2  -8.6 1032  91  1.9 4  1.8  92    0    0 196 -275  0
4174500 2863500  1  5  3  -8.5 1032 102  2.1 5  1.8  94    0    0 198 -275  0
4174500 2863500  1  5  4  -7.4 1032 104  2.1 8  1.9  93    0    0 207 -275  0
4174500 2863500  1  5  5  -6.7 1032 109  1.9 7  2.0  91    0    0 212 -275  0
4174500 2863500  1  5  6  -7.2 1032 106  1.9 4  2.0  90    0    0 206 -275  0
4174500 2863500  1  5  7  -8.6 1032  97  1.9 1  1.9  93    0    0 193 -274  0
4174500 2863500  1  5  8  -8.3 1031  92  2.5 0  1.8  92    0    0 184 -274  0
4174500 2863500  1  5  9  -8.6 1031  92  2.3 1  1.8  92    0    7 184 -274  0
4174500 2863500  1  5 10  -8.1 1031  97  2.2 3  1.8  93   30   39 189 -276  0
4174500 2863500  1  5 11  -6.8 1031 105  3.5 2  1.9  91   46   75 193 -279  0
4174500 2863500  1  5 12  -5.8 1030 110  3.8 2  2.0  87   52   98 194 -285  0
4174500 2863500  1  5 13  -5.7 1029 109  3.5 3  2.0  84   41  106 198 -289  0
4174500 2863500  1  5 14  -5.9 1028 112  4.1 3  2.1  85   23   94 200 -293  0
4174500 2863500  1  5 15  -6.1 1027 110  3.6 6  2.1  86    0   46 209 -293  0
4174500 2863500  1  5 16  -5.8 1027 119  3.6 6  2.1  87    0   12 218 -291  0
4174500 2863500  1  5 17  -5.8 1027 117  3.5 7  2.1  86    0    0 223 -288  0
4174500 2863500  1  5 18  -5.6 1026 120  3.4 6  2.1  86    0    0 224 -285  0
4174500 2863500  1  5 19  -6.5 1026 120  3.2 5  2.0  86    0    0 218 -283  0
4174500 2863500  1  5 20  -7.3 1026 112  3.4 4  1.9  87    0    0 210 -282  0
4174500 2863500  1  5 21  -6.4 1025 115  3.7 4  2.0  89    0    0 209 -281  0
4174500 2863500  1  5 22  -5.8 1024 123  3.9 3  2.1  88    0    0 209 -280  0
4174500 2863500  1  5 23  -4.4 1024 115  3.9 3  2.2  85    0    0 210 -279  0
4174500 2863500  1  5 24  -4.2 1023 122  4.2 5  2.2  82    0    0 218 -279  0
4174500 2863500  1  6  1  -4.5 1022 118  3.7 5  2.2  82    0    0 224 -278  0
4174500 2863500  1  6  2  -4.9 1021 120  3.7 5  2.2  83    0    0 223 -278  0
4174500 2863500  1  6  3  -5.1 1020 107  4.0 5  2.2  84    0    0 223 -278  0
4174500 2863500  1  6  4  -5.6 1020 105  3.8 5  2.1  84    0    0 222 -278  0
4174500 2863500  1  6  5  -5.5 1019 112  4.6 4  2.1  83    0    0 217 -278  0
4174500 2863500  1  6  6  -6.0 1018 108  4.8 6  2.1  84    0    0 219 -277  0
4174500 2863500  1  6  7  -6.2 1018 113  3.9 7  2.0  86    0    0 230 -277  0
4174500 2863500  1  6  8  -6.2 1018 123  4.2 8  2.0  85    0    0 238 -277  0
4174500 2863500  1  6  9  -6.7 1018 103  4.4 8  2.0  84    0    4 242 -276  0
4174500 2863500  1  6 10  -6.8 1018 107  4.7 7  1.9  85    6   40 239 -277  0
4174500 2863500  1  6 11  -7.2 1018 106  3.8 7  1.9  85    5   69 238 -281  0
4174500 2863500  1  6 12  -7.1 1018 102  4.4 6  1.9  85   18  104 235 -285  0
4174500 2863500  1  6 13  -7.0 1017 117  3.4 6  1.9  84    6   96 233 -290  0
4174500 2863500  1  6 14  -7.1 1017  93  3.3 6  1.8  83    9   94 235 -292  0
4174500 2863500  1  6 15  -7.0 1016 102  3.5 3  1.8  83   14   73 223 -293  0
4174500 2863500  1  6 16  -6.7 1016  96  2.9 3  1.8  80    2   26 211 -290  0
4174500 2863500  1  6 17  -8.1 1017  86  2.8 2  1.7  81    0    0 205 -287  0
4174500 2863500  1  6 18  -8.3 1018  96  2.5 2  1.7  84    0    0 198 -284  0
4174500 2863500  1  6 19  -9.1 1019 100  2.3 3  1.7  86    0    0 202 -282  0
4174500 2863500  1  6 20  -8.5 1019  66  1.6 4  1.7  86    0    0 211 -281  0
4174500 2863500  1  6 21  -8.4 1019  73  1.5 5  1.7  87    0    0 221 -279  0
4174500 2863500  1  6 22  -8.1 1020  28  0.8 7  1.8  89    0    0 234 -278  0
4174500 2863500  1  6 23  -7.8 1020  52  0.8 7  1.8  89    0    0 243 -278  0
4174500 2863500  1  6 24  -8.3 1021  38  0.2 8  1.8  90    0    0 247 -278  0
4174500 2863500  1  7  1  -7.9 1021  49  0.8 8  1.8  90    0    0 249 -279  0
4174500 2863500  1  7  2  -7.7 1021  21  0.6 6  1.8  88    0    0 241 -279  0
4174500 2863500  1  7  3  -7.5 1022  22  0.1 5  1.8  87    0    0 229 -279  0
4174500 2863500  1  7  4  -7.6 1022   7  0.0 6  1.9  88    0    0 229 -280  0
4174500 2863500  1  7  5  -7.3 1023  19  0.4 7  1.9  89    0    0 237 -281  0
4174500 2863500  1  7  6  -7.2 1023  60  0.7 8  1.9  89    0    0 244 -282  0
4174500 2863500  1  7  7  -7.2 1024  18  1.5 8  2.0  89    0    0 247 -284  0
4174500 2863500  1  7  8  -7.1 1025  49  1.3 8  2.0  89    0    0 246 -285  0
4174500 2863500  1  7  9  -7.1 1026  35  0.3 8  2.0  89    0    3 245 -286  0
4174500 2863500  1  7 10  -6.9 1027  36  0.4 8  2.0  89    4   43 245 -288  0
4174500 2863500  1  7 11  -6.3 1027  77  1.3 6  2.0  88    5   74 242 -292  0
4174500 2863500  1  7 12  -5.5 1028  14  0.9 7  2.1  86    0   63 243 -297  0
4174500 2863500  1  7 13  -5.4 1029  17  0.9 8  2.1  84    0   75 255 -301  0
4174500 2863500  1  7 14  -5.6 1029  12  0.4 7  2.1  84    5   93 254 -303  0
4174500 2863500  1  7 15  -4.9 1029  26  0.6 5  2.1  84   10   79 240 -302  0
4174500 2863500  1  7 16  -5.4 1029  87  0.8 5  2.2  85    2   30 229 -299  0
4174500 2863500  1  7 17  -6.2 1030   8  0.8 1  2.1  87    0    0 211 -295  0
4174500 2863500  1  7 18  -7.2 1031  36  0.8 2  2.0  89    0    0 198 -290  0
4174500 2863500  1  7 19  -6.9 1031 349  0.8 4  2.0  90    0    0 203 -288  0
4174500 2863500  1  7 20  -7.2 1032 341  1.5 6  2.0  90    0    0 213 -286  0
4174500 2863500  1  7 21  -7.6 1033 342  1.3 5  2.0  92    0    0 215 -286  0
4174500 2863500  1  7 22  -6.6 1033 317  1.3 4  2.0  90    0    0 212 -286  0
4174500 2863500  1  7 23  -7.9 1033 308  1.1 4  1.9  89    0    0 209 -286  0
4174500 2863500  1  7 24  -8.5 1033 193  1.4 7  1.8  90    0    0 217 -286  0
4174500 2863500  1  8  1  -8.0 1033 203  0.9 7  1.8  91    0    0 228 -286  0
4174500 2863500  1  8  2  -7.5 1033 291  1.3 6  1.9  91    0    0 227 -285  0
4174500 2863500  1  8  3  -7.7 1033 185  0.9 5  1.9  89    0    0 221 -285  0
4174500 2863500  1  8  4  -9.4 1033 163  1.5 3  1.7  90    0    0 209 -284  0
4174500 2863500  1  8  5  -9.9 1033 163  1.6 1  1.7  94    0    0 192 -283  0
4174500 2863500  1  8  6  -9.1 1033 146  1.9 0  1.7  95    0    0 182 -281  0
4174500 2863500  1  8  7  -9.3 1032 171  1.9 2  1.8  95    0    0 185 -280  0
4174500 2863500  1  8  8  -9.6 1032 165  2.3 1  1.7  94    0    0 189 -279  0
4174500 2863500  1  8  9  -9.0 1032 162  2.5 1  1.7  92    0    7 185 -277  0
4174500 2863500  1  8 10  -9.2 1031 148  1.8 3  1.7  93   20   44 193 -278  0
4174500 2863500  1  8 11  -7.4 1031 158  3.0 3  1.8  93   28   84 203 -281  0
4174500 2863500  1  8 12  -7.4 1031 163  3.3 4  2.0  93   12   98 209 -286  0
4174500 2863500  1  8 13  -6.6 1030 167  2.8 5  2.0  93    0   75 220 -291  0
4174500 2863500  1  8 14  -6.3 1028 172  3.0 3  2.1  90   24  105 218 -294  0
4174500 2863500  1  8 15  -5.5 1027 168  3.9 3  2.1  87   17   75 212 -296  0
4174500 2863500  1  8 16  -5.5 1026 171  3.9 5  2.1  85    1   27 224 -295  0
4174500 2863500  1  8 17  -5.6 1025 166  3.3 6  2.1  85    0    0 237 -292  0
4174500 2863500  1  8 18  -5.7 1024 168  3.2 6  2.1  85    0    0 243 -289  0
4174500 2863500  1  8 19  -5.7 1024 173  2.8 7  2.1  85    0    0 248 -288  0
4174500 2863500  1  8 20  -5.9 1023 174  2.5 8  2.0  84    0    0 253 -287  0
4174500 2863500  1  8 21  -5.5 1022 182  3.1 8  2.0  83    0    0 256 -287  0
4174500 2863500  1  8 22  -5.8 1021 186  2.4 8  2.0  83    0    0 259 -287  0
4174500 2863500  1  8 23  -5.6 1020 187  2.2 8  2.1  84    0    0 261 -287  0
4174500 2863500  1  8 24  -5.0 1019 188  2.3 8  2.1  82    0    0 264 -288  0
4174500 2863500  1  9  1  -5.6 1019 192  1.8 8  2.1  82    0    0 266 -290  0
4174500 2863500  1  9  2  -5.3 1018 208  2.1 8  2.1  84    0    0 267 -292  0
4174500 2863500  1  9  3  -5.2 1017 202  2.8 8  2.2  86    0    0 270 -293  0
4174500 2863500  1  9  4  -4.9 1017 199  2.4 8  2.3  88    0    0 273 -295  0
4174500 2863500  1  9  5  -4.6 1016 215  2.4 8  2.4  90    0    0 276 -296  0
4174500 2863500  1  9  6  -4.0 1015 224  2.5 8  2.5  92    0    0 279 -298  0
4174500 2863500  1  9  7  -3.5 1015 230  2.7 8  2.6  92    0    0 283 -300  0
4174500 2863500  1  9  8  -3.3 1015 237  3.2 8  2.7  93    0    0 284 -302  0
4174500 2863500  1  9  9  -2.4 1015 233  3.6 8  2.9  94    0    5 287 -303  0
4174500 2863500  1  9 10  -1.6 1015 239  3.3 8  3.0  93    4   33 290 -304  0
4174500 2863500  1  9 11  -0.9 1016 245  4.1 6  3.2  94   31   60 282 -307  0
4174500 2863500  1  9 12  -0.3 1016 252  3.8 5  3.4  95    6   78 266 -310  0
4174500 2863500  1  9 13   0.0 1015 246  3.9 5  3.6  96    0   70 261 -312  0
4174500 2863500  1  9 14   0.6 1014 243  3.5 8  3.8  98    0   53 281 -313  0
4174500 2863500  1  9 15   1.0 1014 249  4.5 7  3.9  96   11   56 294 -314  0
4174500 2863500  1  9 16   1.2 1013 248  3.3 8  3.9  95    0   20 297 -314  0
4174500 2863500  1  9 17   1.0 1013 239  2.9 8  3.9  96    0    0 305 -314  0
4174500 2863500  1  9 18   1.1 1012 237  3.7 8  4.0  97    0    0 307 -314  0
4174500 2863500  1  9 19   1.5 1011 221  3.9 7  4.0  96    0    0 306 -314  0
4174500 2863500  1  9 20   1.3 1010 224  4.0 8  4.0  95    0    0 307 -315  0
4174500 2863500  1  9 21   1.2 1008 218  4.7 8  4.0  96    0    0 314 -315  0
4174500 2863500  1  9 22   1.0 1007 209  4.7 8  4.0  96    0    0 313 -315  0
4174500 2863500  1  9 23   0.8 1004 207  5.6 8  3.9  96    0    0 313 -315  0
4174500 2863500  1  9 24   0.4 1002 212  5.7 8  3.9  96    0    0 312 -315  0
4174500 2863500  1 10  1   0.5 1000 218  5.8 7  3.8  97    0    0 306 -316  0
4174500 2863500  1 10  2   0.5  997 220  7.0 7  3.9  97    0    0 299 -317  0
4174500 2863500  1 10  3   1.4  994 230  7.0 8  3.9  95    0    0 306 -318  0
4174500 2863500  1 10  4   2.1  992 246  6.0 8  4.1  94    0    0 315 -318  0
4174500 2863500  1 10  5   2.4  991 259  5.8 7  4.3  94    0    0 309 -318  0
4174500 2863500  1 10  6   2.8  991 245  6.5 7  4.4  93    0    0 302 -318  0
4174500 2863500  1 10  7   3.0  989 242  7.4 7  4.3  90    0    0 301 -318  0
4174500 2863500  1 10  8   2.1  988 251  8.4 8  4.2  90    0    0 305 -319  0
4174500 2863500  1 10  9   2.5  987 264 10.6 8  4.2  92    0    6 311 -319  0
4174500 2863500  1 10 10   3.0  986 279 12.2 7  4.3  92   10   41 303 -318  0
4174500 2863500  1 10 11   3.3  987 282 10.7 7  4.3  88    2   62 295 -318  0
4174500 2863500  1 10 12   3.5  988 272 10.8 6  4.1  83   31  104 285 -318  0
4174500 2863500  1 10 13   3.6  989 279 11.8 6  3.8  77   20  109 276 -319  0
4174500 2863500  1 10 14   3.6  990 277 11.7 5  3.6  72   20   99 264 -321  0
4174500 2863500  1 10 15   3.5  990 277 10.9 6  3.4  69    4   61 263 -322  0
4174500 2863500  1 10 16   2.8  990 283 10.7 6  3.3  69    0   21 272 -321  0
4174500 2863500  1 10 17   2.4  991 277  9.8 5  3.3  70    0    0 263 -319  0
4174500 2863500  1 10 18   1.9  992 280  9.4 4  3.2  71    0    0 250 -318  0
4174500 2863500  1 10 19   1.6  992 274  9.5 1  3.2  73    0    0 224 -318  0
4174500 2863500  1 10 20   1.1  992 274  8.9 2  3.2  76    0    0 212 -316  0
4174500 2863500  1 10 21   0.9  992 269  8.3 2  3.3  79    0    0 218 -314  0
4174500 2863500  1 10 22   0.8  991 266  8.3 1  3.3  80    0    0 213 -312  0
4174500 2863500  1 10 23   0.9  991 265  7.8 2  3.3  81    0    0 214 -311  0
4174500 2863500  1 10 24   0.9  990 267  7.9 5  3.4  81    0    0 237 -311  0
4174500 2863500  1 11  1   0.7  990 268  6.9 5  3.4  83    0    0 253 -311  0
4174500 2863500  1 11  2   0.2  989 267  6.3 5  3.5  86    0    0 252 -310  0
4174500 2863500  1 11  3   0.1  989 267  6.2 6  3.5  88    0    0 255 -309  0
4174500 2863500  1 11  4   0.1  988 272  6.4 5  3.5  89    0    0 253 -308  0
4174500 2863500  1 11  5   0.2  988 269  6.3 5  3.5  89    0    0 246 -307  0
4174500 2863500  1 11  6   0.6  988 270  6.3 5  3.5  87    0    0 246 -306  0
4174500 2863500  1 11  7   0.6  987 269  7.4 5  3.5  86    0    0 246 -306  0
4174500 2863500  1 11  8   0.8  988 279  6.8 6  3.5  85    0    0 251 -306  0
4174500 2863500  1 11  9   0.7  988 278  7.6 6  3.5  85    1    7 256 -307  0
4174500 2863500  1 11 10   1.0  988 283  8.0 5  3.4  83   38   39 251 -309  0
